Model,Repetition,Feature,Mean_Absolute_SHAP,Normalized_SHAP
LGBM,5,lOBlank,0.014453959346614677,0.04451983929921201
LGBM,5,locCodeAndComment,0.004698173379865159,0.014470908548696128
LGBM,5,uniq_Op,0.008381167097378451,0.025814948234410506
LGBM,5,uniq_Opnd,0.008477729003269584,0.026112369890968972
LGBM,5,total_Op,0.014226030450049165,0.04381779236498426
LGBM,5,total_Opnd,0.017175946045741915,0.05290386802889844
LGBM,5,branchCount,0.011689624377184784,0.03600537307878257
MLP,5,loc,0.26735685432706036,0.22991333470555358
MLP,5,v(g),0.015012971582441909,0.012910394121171297
MLP,5,ev(g),0.029595121617056706,0.025450303561958196
MLP,5,iv(g),0.01737302357972389,0.014939919139855968
MLP,5,n,0.008751938875998292,0.007526223545622707
MLP,5,v,0.08440768197293923,0.07258632544136755
MLP,5,l,0.048112035838606806,0.041373910637037305
MLP,5,d,0.04922819689644223,0.04233375253643927
MLP,5,i,0.06530377490735371,0.056157934291983826
MLP,5,e,0.012815219380005485,0.011020438694404855
MLP,5,b,0.030645664004178907,0.026353716732646266
MLP,5,t,0.010016243881215402,0.008613461726091407
MLP,5,lOCode,0.18061506065925204,0.15531979158991574
MLP,5,lOComment,0.051795655560971106,0.04454163676954141
MLP,5,lOBlank,0.036981808703911705,0.03180247981283426
MLP,5,locCodeAndComment,0.013408501023479884,0.01153063081726671
MLP,5,uniq_Op,0.0489121483243865,0.042061966794071995
MLP,5,uniq_Opnd,0.0492924360089602,0.04238899491507478
MLP,5,total_Op,0.053261627693262766,0.04580229845098188
MLP,5,total_Opnd,0.0667967281479444,0.05744179835811234
MLP,5,branchCount,0.023176584705074298,0.019930687358068716
